분절,record_id,seg_idx,인코더,참조,rho
8,100,8,enc2,em,0.40755610897764794
8,100,8,enc3,x_clean,0.04869105579801707
8,100,8,enc3,bw,0.8948215423522846
8,100,8,enc3,ma,0.1982231614992867
8,100,8,enc3,em,0.38476252989727605
8,100,8,enc4,x_clean,0.6487889476059503
8,100,8,enc4,bw,0.06373487683599297
8,100,8,enc4,ma,-0.012433309351338335
8,100,8,enc4,em,0.006859921489492841
8,100,8,enc5,x_clean,-0.050068318012778924
8,100,8,enc5,bw,-0.3694442848537675
8,100,8,enc5,ma,0.03206287014263866
8,100,8,enc5,em,-0.2304715062973651
8,100,8,enc6,x_clean,-0.018649122833036047
8,100,8,enc6,bw,0.35105533853159565
8,100,8,enc6,ma,0.16745966198813855
8,100,8,enc6,em,0.2168813154164254
8,100,8,enc7,x_clean,0.14225779699057176
8,100,8,enc7,bw,0.08134684257081719
8,100,8,enc7,ma,0.5784378307526284
8,100,8,enc7,em,0.03994414337418618
8,100,8,enc8,x_clean,0.060605188051445096
8,100,8,enc8,bw,0.3411531226915751
8,100,8,enc8,ma,0.07153815811267236
8,100,8,enc8,em,0.32991295128335624
9,100,9,enc1,x_clean,0.04081293742069709
9,100,9,enc1,bw,-0.20155921392419784
9,100,9,enc1,ma,0.2875684114524297
9,100,9,enc1,em,0.23596599180599495
9,100,9,enc2,x_clean,-0.03474059116019706
9,100,9,enc2,bw,0.7313352606178714
9,100,9,enc2,ma,0.4965561112164658
9,100,9,enc2,em,-0.12006313026841565
9,100,9,enc3,x_clean,-0.022148899734410046
9,100,9,enc3,bw,0.9245896492406716
9,100,9,enc3,ma,0.6463422363378931
9,100,9,enc3,em,-0.25248938202148485
9,100,9,enc4,x_clean,0.7212641983040852
9,100,9,enc4,bw,-0.10541883653551426
9,100,9,enc4,ma,0.058009429782019076
9,100,9,enc4,em,-0.005623100698841637
9,100,9,enc5,x_clean,0.02374638686487768
9,100,9,enc5,bw,-0.6681964412634832
9,100,9,enc5,ma,-0.15678923290962427
9,100,9,enc5,em,0.00988176694670087
9,100,9,enc6,x_clean,0.04861007036606842
9,100,9,enc6,bw,-0.1089259650565772
9,100,9,enc6,ma,0.25640991257325274
9,100,9,enc6,em,-0.06425961831478008
9,100,9,enc7,x_clean,0.03140676563500629
9,100,9,enc7,bw,0.2989615808432777
9,100,9,enc7,ma,0.24685757275397363
9,100,9,enc7,em,-0.3324459170846396
9,100,9,enc8,x_clean,0.003058396932997888
9,100,9,enc8,bw,-0.341545346238124
9,100,9,enc8,ma,-0.35909958486235527
9,100,9,enc8,em,0.47130832693164115
10,100,10,enc1,x_clean,0.047853641523144946
10,100,10,enc1,bw,-0.3062539349361349
10,100,10,enc1,ma,-0.3361093023145721
10,100,10,enc1,em,0.11547693671565216
10,100,10,enc2,x_clean,0.017612538506448637
10,100,10,enc2,bw,0.8026057288346232
10,100,10,enc2,ma,0.5887952117855848
10,100,10,enc2,em,0.29990675672136113
10,100,10,enc3,x_clean,-0.007732223423520463
10,100,10,enc3,bw,0.8417324158496758
10,100,10,enc3,ma,0.6977048546002115
